state_id,school_type,num_of_schools
11,single_classroom,10
12,single_classroom,152
13,single_classroom,5
14,single_classroom,35
15,single_classroom,7
16,single_classroom,149
17,single_classroom,1998
18,single_classroom,12471
19,single_classroom,5600
20,single_classroom,407
21,single_classroom,6407
22,single_classroom,1152
23,single_classroom,4416
24,single_classroom,506
25,single_classroom,1
26,single_classroom,4
27,single_classroom,3135
28,single_classroom,7904
29,single_classroom,2146
30,single_classroom,179
31,single_classroom,0
32,single_classroom,322
33,single_classroom,0
34,single_classroom,8
35,single_classroom,13
1,single_teacher,1745
2,single_teacher,1476
3,single_teacher,1583
4,single_teacher,0
5,single_teacher,1558
6,single_teacher,1074
7,single_teacher,13
8,single_teacher,12836
9,single_teacher,20394
10,single_teacher,3396
11,single_teacher,3
12,single_teacher,1083
13,single_teacher,48
14,single_teacher,330
15,single_teacher,77
16,single_teacher,8
17,single_teacher,997
18,single_teacher,1337
19,single_teacher,3510
20,single_teacher,7780
21,single_teacher,2453
22,single_teacher,2548
23,single_teacher,18915
24,single_teacher,678
25,single_teacher,1
26,single_teacher,6
27,single_teacher,3032
28,single_teacher,9634
29,single_teacher,5391
30,single_teacher,305
31,single_teacher,0
32,single_teacher,366
33,single_teacher,1283
34,single_teacher,0
35,single_teacher,18
1,road_approachable,22634
2,road_approachable,14929
3,road_approachable,28650
4,road_approachable,201
5,road_approachable,18214
6,road_approachable,21824
7,road_approachable,5751
8,road_approachable,84991
9,road_approachable,236294
10,road_approachable,69162
11,road_approachable,1079
12,road_approachable,2646
13,road_approachable,2298
14,road_approachable,4084
15,road_approachable,2898
16,road_approachable,3898
17,road_approachable,7551
18,road_approachable,54335
19,road_approachable,84691
20,road_approachable,25306
21,road_approachable,62223
22,road_approachable,44893
23,road_approachable,127889
24,road_approachable,42617
25,road_approachable,119
26,road_approachable,299
27,road_approachable,95739
28,road_approachable,56961
29,road_approachable,56984
30,road_approachable,1433
31,road_approachable,33
32,road_approachable,15992
33,road_approachable,56547
34,road_approachable,718
35,road_approachable,353
1,playground_facility,10604
2,playground_facility,15456
3,playground_facility,27853
4,playground_facility,187
5,playground_facility,13768
6,playground_facility,18780
7,playground_facility,5026
8,playground_facility,56458
9,playground_facility,173437
10,playground_facility,28295
11,playground_facility,870
12,playground_facility,1564
13,playground_facility,1263
14,playground_facility,2602
15,playground_facility,1971
16,playground_facility,3002
17,playground_facility,4392
18,playground_facility,37171
19,playground_facility,38652
20,playground_facility,19210
21,playground_facility,20908
22,playground_facility,27670
23,playground_facility,93444
24,playground_facility,33894
25,playground_facility,60
26,playground_facility,141
