,state_id,state_name,area_type,age_group,education_level,male,female,total
89,1,State - JAMMU & KASHMIR,Total,7,Total,142123,128415,270538
90,1,State - JAMMU & KASHMIR,Total,8,Total,150470,134844,285314
91,1,State - JAMMU & KASHMIR,Total,9,Total,133371,118729,252100
92,1,State - JAMMU & KASHMIR,Total,10,Total,166773,147510,314283
93,1,State - JAMMU & KASHMIR,Total,11,Total,149261,132788,282049
94,1,State - JAMMU & KASHMIR,Total,12,Total,152365,137433,289798
95,1,State - JAMMU & KASHMIR,Total,13,Total,136728,124351,261079
96,1,State - JAMMU & KASHMIR,Total,14,Total,139728,126916,266644
97,1,State - JAMMU & KASHMIR,Total,15,Total,140502,130490,270992
98,1,State - JAMMU & KASHMIR,Total,16,Total,136077,126964,263041
99,1,State - JAMMU & KASHMIR,Total,17,Total,115421,106198,221619
100,1,State - JAMMU & KASHMIR,Total,18,Total,141830,134386,276216
101,1,State - JAMMU & KASHMIR,Total,19,Total,106532,99062,205594
102,1,State - JAMMU & KASHMIR,Total,20-24,Total,603578,557335,1160913
103,1,State - JAMMU & KASHMIR,Total,25-29,Total,584559,501563,1086122
104,1,State - JAMMU & KASHMIR,Total,30-34,Total,495746,431157,926903
105,1,State - JAMMU & KASHMIR,Total,35-39,Total,441265,396680,837945
106,1,State - JAMMU & KASHMIR,Total,40-44,Total,387739,326346,714085
107,1,State - JAMMU & KASHMIR,Total,45-49,Total,311560,279230,590790
108,1,State - JAMMU & KASHMIR,Total,50-54,Total,255599,212967,468566
109,1,State - JAMMU & KASHMIR,Total,55-59,Total,172753,167278,340031
110,1,State - JAMMU & KASHMIR,Total,60-64,Total,173427,149299,322726
111,1,State - JAMMU & KASHMIR,Total,65-69,Total,102743,101222,203965
112,1,State - JAMMU & KASHMIR,Total,70-74,Total,97472,86547,184019
113,1,State - JAMMU & KASHMIR,Total,75-79,Total,43094,41982,85076
114,1,State - JAMMU & KASHMIR,Total,80+,Total,65844,61026,126870
115,1,State - JAMMU & KASHMIR,Total,Age not stated,Total,9747,5372,15119
116,1,State - JAMMU & KASHMIR,Rural,All ages,Total,4774477,4333583,9108060
117,1,State - JAMMU & KASHMIR,Rural,0-6,Total,854141,738867,1593008
118,1,State - JAMMU & KASHMIR,Rural,7,Total,111149,100775,211924
119,1,State - JAMMU & KASHMIR,Rural,8,Total,117665,106165,223830
120,1,State - JAMMU & KASHMIR,Rural,9,Total,102930,92653,195583
121,1,State - JAMMU & KASHMIR,Rural,10,Total,129213,115644,244857
122,1,State - JAMMU & KASHMIR,Rural,11,Total,115820,104224,220044
123,1,State - JAMMU & KASHMIR,Rural,12,Total,118391,107675,226066
124,1,State - JAMMU & KASHMIR,Rural,13,Total,105405,96663,202068
125,1,State - JAMMU & KASHMIR,Rural,14,Total,106682,97519,204201
126,1,State - JAMMU & KASHMIR,Rural,15,Total,106785,100355,207140
127,1,State - JAMMU & KASHMIR,Rural,16,Total,102617,96777,199394
128,1,State - JAMMU & KASHMIR,Rural,17,Total,85481,78896,164377
129,1,State - JAMMU & KASHMIR,Rural,18,Total,105200,100679,205879
130,1,State - JAMMU & KASHMIR,Rural,19,Total,77015,72303,149318
131,1,State - JAMMU & KASHMIR,Rural,20-24,Total,423292,404069,827361
132,1,State - JAMMU & KASHMIR,Rural,25-29,Total,385544,353024,738568
133,1,State - JAMMU & KASHMIR,Rural,30-34,Total,333062,303075,636137
134,1,State - JAMMU & KASHMIR,Rural,35-39,Total,294268,274557,568825
135,1,State - JAMMU & KASHMIR,Rural,40-44,Total,256988,226234,483222
136,1,State - JAMMU & KASHMIR,Rural,45-49,Total,205036,190923,395959
137,1,State - JAMMU & KASHMIR,Rural,50-54,Total,173804,146188,319992
138,1,State - JAMMU & KASHMIR,Rural,55-59,Total,114641,112854,227495
139,1,State - JAMMU & KASHMIR,Rural,60-64,Total,121240,104765,226005
140,1,State - JAMMU & KASHMIR,Rural,65-69,Total,70780,69940,140720
141,1,State - JAMMU & KASHMIR,Rural,70-74,Total,70777,61307,132084
142,1,State - JAMMU & KASHMIR,Rural,75-79,Total,29980,28938,58918
143,1,State - JAMMU & KASHMIR,Rural,80+,Total,49712,44530,94242
144,1,State - JAMMU & KASHMIR,Rural,Age not stated,Total,6859,3984,10843
145,1,State - JAMMU & KASHMIR,Urban,All ages,Total,1866185,1567057,3433242
146,1,State - JAMMU & KASHMIR,Urban,0-6,Total,230214,195683,425897
147,1,State - JAMMU & KASHMIR,Urban,7,Total,30974,27640,58614
148,1,State - JAMMU & KASHMIR,Urban,8,Total,32805,28679,61484
149,1,State - JAMMU & KASHMIR,Urban,9,Total,30441,26076,56517
150,1,State - JAMMU & KASHMIR,Urban,10,Total,37560,31866,69426
151,1,State - JAMMU & KASHMIR,Urban,11,Total,33441,28564,62005
152,1,State - JAMMU & KASHMIR,Urban,12,Total,33974,29758,63732
153,1,State - JAMMU & KASHMIR,Urban,13,Total,31323,27688,59011
154,1,State - JAMMU & KASHMIR,Urban,14,Total,33046,29397,62443
155,1,State - JAMMU & KASHMIR,Urban,15,Total,33717,30135,63852
156,1,State - JAMMU & KASHMIR,Urban,16,Total,33460,30187,63647
157,1,State - JAMMU & KASHMIR,Urban,17,Total,29940,27302,57242
158,1,State - JAMMU & KASHMIR,Urban,18,Total,36630,33707,70337
