,state_id,state_name,area_type,age_group,education_level,male,female,total
2346,26,State - DADRA & NAGAR HAVELI,Urban,75-79,Total,186,213,399
2347,26,State - DADRA & NAGAR HAVELI,Urban,80+,Total,245,316,561
2348,26,State - DADRA & NAGAR HAVELI,Urban,Age not stated,Total,87,65,152
2349,27,State - MAHARASHTRA,Total,All ages,Total,58243056,54131277,112374333
2350,27,State - MAHARASHTRA,Total,0-6,Total,7035391,6291126,13326517
2351,27,State - MAHARASHTRA,Total,7,Total,1027436,934275,1961711
2352,27,State - MAHARASHTRA,Total,8,Total,1019451,916229,1935680
2353,27,State - MAHARASHTRA,Total,9,Total,1035528,923244,1958772
2354,27,State - MAHARASHTRA,Total,10,Total,1227446,1089893,2317339
2355,27,State - MAHARASHTRA,Total,11,Total,1141531,1022179,2163710
2356,27,State - MAHARASHTRA,Total,12,Total,1111511,989718,2101229
2357,27,State - MAHARASHTRA,Total,13,Total,1086667,986070,2072737
2358,27,State - MAHARASHTRA,Total,14,Total,1095106,984414,2079520
2359,27,State - MAHARASHTRA,Total,15,Total,1128043,990737,2118780
2360,27,State - MAHARASHTRA,Total,16,Total,1117920,970447,2088367
2361,27,State - MAHARASHTRA,Total,17,Total,1073589,913506,1987095
2362,27,State - MAHARASHTRA,Total,18,Total,1296423,1080629,2377052
2363,27,State - MAHARASHTRA,Total,19,Total,1094425,961548,2055973
2364,27,State - MAHARASHTRA,Total,20-24,Total,5845114,5245852,11090966
2365,27,State - MAHARASHTRA,Total,25-29,Total,5272560,4874553,10147113
2366,27,State - MAHARASHTRA,Total,30-34,Total,4536297,4260010,8796307
2367,27,State - MAHARASHTRA,Total,35-39,Total,4209434,4037726,8247160
2368,27,State - MAHARASHTRA,Total,40-44,Total,3744825,3451264,7196089
2369,27,State - MAHARASHTRA,Total,45-49,Total,3116218,2916236,6032454
2370,27,State - MAHARASHTRA,Total,50-54,Total,2580991,2338326,4919317
2371,27,State - MAHARASHTRA,Total,55-59,Total,1974129,1911685,3885814
2372,27,State - MAHARASHTRA,Total,60-64,Total,1716639,1925841,3642480
2373,27,State - MAHARASHTRA,Total,65-69,Total,1440238,1638114,3078352
2374,27,State - MAHARASHTRA,Total,70-74,Total,1039292,1103844,2143136
2375,27,State - MAHARASHTRA,Total,75-79,Total,515431,547342,1062773
2376,27,State - MAHARASHTRA,Total,80+,Total,542109,638085,1180194
2377,27,State - MAHARASHTRA,Total,Age not stated,Total,219312,188384,407696
2378,27,State - MAHARASHTRA,Rural,All ages,Total,31539034,30017040,61556074
2379,27,State - MAHARASHTRA,Rural,0-6,Total,4067399,3621555,7688954
2380,27,State - MAHARASHTRA,Rural,7,Total,576762,528061,1104823
2381,27,State - MAHARASHTRA,Rural,8,Total,589439,533859,1123298
2382,27,State - MAHARASHTRA,Rural,9,Total,606638,544709,1151347
2383,27,State - MAHARASHTRA,Rural,10,Total,711318,636852,1348170
2384,27,State - MAHARASHTRA,Rural,11,Total,664482,598719,1263201
2385,27,State - MAHARASHTRA,Rural,12,Total,644103,579441,1223544
2386,27,State - MAHARASHTRA,Rural,13,Total,631466,577850,1209316
2387,27,State - MAHARASHTRA,Rural,14,Total,636787,575039,1211826
2388,27,State - MAHARASHTRA,Rural,15,Total,654820,576384,1231204
2389,27,State - MAHARASHTRA,Rural,16,Total,652477,563090,1215567
2390,27,State - MAHARASHTRA,Rural,17,Total,605491,510378,1115869
2391,27,State - MAHARASHTRA,Rural,18,Total,717166,601376,1318542
2392,27,State - MAHARASHTRA,Rural,19,Total,579270,519213,1098483
2393,27,State - MAHARASHTRA,Rural,20-24,Total,3018199,2746645,5764844
2394,27,State - MAHARASHTRA,Rural,25-29,Total,2589352,2435926,5025278
2395,27,State - MAHARASHTRA,Rural,30-34,Total,2218757,2176444,4395201
2396,27,State - MAHARASHTRA,Rural,35-39,Total,2111275,2112082,4223357
2397,27,State - MAHARASHTRA,Rural,40-44,Total,1924940,1838649,3763589
2398,27,State - MAHARASHTRA,Rural,45-49,Total,1607153,1559955,3167108
2399,27,State - MAHARASHTRA,Rural,50-54,Total,1344947,1274882,2619829
2400,27,State - MAHARASHTRA,Rural,55-59,Total,1038978,1078277,2117255
2401,27,State - MAHARASHTRA,Rural,60-64,Total,970755,1184588,2155343
2402,27,State - MAHARASHTRA,Rural,65-69,Total,920144,1088768,2008912
2403,27,State - MAHARASHTRA,Rural,70-74,Total,684770,726447,1411217
2404,27,State - MAHARASHTRA,Rural,75-79,Total,324175,340552,664727
2405,27,State - MAHARASHTRA,Rural,80+,Total,339248,390093,729341
2406,27,State - MAHARASHTRA,Rural,Age not stated,Total,108723,97206,205929
2407,27,State - MAHARASHTRA,Urban,All ages,Total,26704022,24114237,50818259
2408,27,State - MAHARASHTRA,Urban,0-6,Total,2967992,2669571,5637563
2409,27,State - MAHARASHTRA,Urban,7,Total,450674,406214,856888
2410,27,State - MAHARASHTRA,Urban,8,Total,430012,382370,812382
2411,27,State - MAHARASHTRA,Urban,9,Total,428890,378535,807425
2412,27,State - MAHARASHTRA,Urban,10,Total,516128,453041,969169
2413,27,State - MAHARASHTRA,Urban,11,Total,477049,423460,900509
2414,27,State - MAHARASHTRA,Urban,12,Total,467408,410277,877685
2415,27,State - MAHARASHTRA,Urban,13,Total,455201,408220,863421
2416,27,State - MAHARASHTRA,Urban,14,Total,458319,409375,867694
2417,27,State - MAHARASHTRA,Urban,15,Total,473223,414353,887576
2418,27,State - MAHARASHTRA,Urban,16,Total,465443,407357,872800
2419,27,State - MAHARASHTRA,Urban,17,Total,468098,403128,871226
2420,27,State - MAHARASHTRA,Urban,18,Total,579257,479253,1058510
2421,27,State - MAHARASHTRA,Urban,19,Total,515155,442335,957490
2422,27,State - MAHARASHTRA,Urban,20-24,Total,2826915,2499207,5326122
2423,27,State - MAHARASHTRA,Urban,25-29,Total,2683208,2438627,5121835
2424,27,State - MAHARASHTRA,Urban,30-34,Total,2317540,2083566,4401106
2425,27,State - MAHARASHTRA,Urban,35-39,Total,2098159,1925644,4023803
2426,27,State - MAHARASHTRA,Urban,40-44,Total,1819885,1612615,3432500
2427,27,State - MAHARASHTRA,Urban,45-49,Total,1509065,1356281,2865346
2428,27,State - MAHARASHTRA,Urban,50-54,Total,1236044,1063444,2299488
2429,27,State - MAHARASHTRA,Urban,55-59,Total,935151,833408,1768559
2430,27,State - MAHARASHTRA,Urban,60-64,Total,745884,741253,1487137
2431,27,State - MAHARASHTRA,Urban,65-69,Total,520094,549346,1069440
2432,27,State - MAHARASHTRA,Urban,70-74,Total,354522,377397,731919
2433,27,State - MAHARASHTRA,Urban,75-79,Total,191256,206790,398046
2434,27,State - MAHARASHTRA,Urban,80+,Total,202861,247992,450853
2435,27,State - MAHARASHTRA,Urban,Age not stated,Total,110589,91178,201767
2436,28,State - ANDHRA PRADESH,Total,All ages,Total,42442146,42138631,84580777
2437,28,State - ANDHRA PRADESH,Total,0-6,Total,4714950,4427852,9142802
2438,28,State - ANDHRA PRADESH,Total,7,Total,764908,719040,1483948
2439,28,State - ANDHRA PRADESH,Total,8,Total,766274,730609,1496883
2440,28,State - ANDHRA PRADESH,Total,9,Total,750153,715411,1465564
2441,28,State - ANDHRA PRADESH,Total,10,Total,913080,854308,1767388
2442,28,State - ANDHRA PRADESH,Total,11,Total,795307,764103,1559410
2443,28,State - ANDHRA PRADESH,Total,12,Total,859629,816378,1676007
2444,28,State - ANDHRA PRADESH,Total,13,Total,809422,776327,1585749
2445,28,State - ANDHRA PRADESH,Total,14,Total,831446,781595,1613041
2446,28,State - ANDHRA PRADESH,Total,15,Total,861559,790809,1652368
2447,28,State - ANDHRA PRADESH,Total,16,Total,824000,752131,1576131
2448,28,State - ANDHRA PRADESH,Total,17,Total,780993,685119,1466112
2449,28,State - ANDHRA PRADESH,Total,18,Total,960859,916244,1877103
2450,28,State - ANDHRA PRADESH,Total,19,Total,768896,753137,1522033
2451,28,State - ANDHRA PRADESH,Total,20-24,Total,4055697,4076397,8132094
2452,28,State - ANDHRA PRADESH,Total,25-29,Total,3809887,3989149,7799036
2453,28,State - ANDHRA PRADESH,Total,30-34,Total,3300407,3283964,6584371
2454,28,State - ANDHRA PRADESH,Total,35-39,Total,3198512,3308827,6507339
2455,28,State - ANDHRA PRADESH,Total,40-44,Total,2794398,2605075,5399473
2456,28,State - ANDHRA PRADESH,Total,45-49,Total,2374633,2282636,4657269
2457,28,State - ANDHRA PRADESH,Total,50-54,Total,1862583,1794803,3657386
2458,28,State - ANDHRA PRADESH,Total,55-59,Total,1350539,1559059,2909598
2459,28,State - ANDHRA PRADESH,Total,60-64,Total,1485764,1714073,3199837
2460,28,State - ANDHRA PRADESH,Total,65-69,Total,1034360,1133494,2167854
2461,28,State - ANDHRA PRADESH,Total,70-74,Total,752743,766615,1519358
2462,28,State - ANDHRA PRADESH,Total,75-79,Total,307474,329515,636989
2463,28,State - ANDHRA PRADESH,Total,80+,Total,325987,428216,754203
2464,28,State - ANDHRA PRADESH,Total,Age not stated,Total,387686,383745,771431
2465,28,State - ANDHRA PRADESH,Rural,All ages,Total,28243241,28118461,56361702
2466,28,State - ANDHRA PRADESH,Rural,0-6,Total,3169288,2982734,6152022
2467,28,State - ANDHRA PRADESH,Rural,7,Total,519134,489249,1008383
2468,28,State - ANDHRA PRADESH,Rural,8,Total,527460,504390,1031850
2469,28,State - ANDHRA PRADESH,Rural,9,Total,508816,487956,996772
2470,28,State - ANDHRA PRADESH,Rural,10,Total,618712,579864,1198576
2471,28,State - ANDHRA PRADESH,Rural,11,Total,531833,510562,1042395
2472,28,State - ANDHRA PRADESH,Rural,12,Total,591236,558680,1149916
2473,28,State - ANDHRA PRADESH,Rural,13,Total,552120,527710,1079830
2474,28,State - ANDHRA PRADESH,Rural,14,Total,565959,528726,1094685
2475,28,State - ANDHRA PRADESH,Rural,15,Total,578647,526347,1104994
2476,28,State - ANDHRA PRADESH,Rural,16,Total,544177,487688,1031865
2477,28,State - ANDHRA PRADESH,Rural,17,Total,510581,432256,942837
2478,28,State - ANDHRA PRADESH,Rural,18,Total,659517,610683,1270200
2479,28,State - ANDHRA PRADESH,Rural,19,Total,507071,477102,984173
2480,28,State - ANDHRA PRADESH,Rural,20-24,Total,2682670,2580607,5263277
2481,28,State - ANDHRA PRADESH,Rural,25-29,Total,2453142,2542439,4995581
2482,28,State - ANDHRA PRADESH,Rural,30-34,Total,2106915,2126704,4233619
2483,28,State - ANDHRA PRADESH,Rural,35-39,Total,2064444,2181914,4246358
2484,28,State - ANDHRA PRADESH,Rural,40-44,Total,1819821,1721080,3540901
2485,28,State - ANDHRA PRADESH,Rural,45-49,Total,1549594,1517706,3067300
2486,28,State - ANDHRA PRADESH,Rural,50-54,Total,1229218,1212242,2441460
2487,28,State - ANDHRA PRADESH,Rural,55-59,Total,878394,1096785,1975179
2488,28,State - ANDHRA PRADESH,Rural,60-64,Total,1066864,1275689,2342553
2489,28,State - ANDHRA PRADESH,Rural,65-69,Total,774178,850523,1624701
2490,28,State - ANDHRA PRADESH,Rural,70-74,Total,573247,574771,1148018
2491,28,State - ANDHRA PRADESH,Rural,75-79,Total,224296,235745,460041
2492,28,State - ANDHRA PRADESH,Rural,80+,Total,234293,298485,532778
2493,28,State - ANDHRA PRADESH,Rural,Age not stated,Total,201614,199824,401438
2494,28,State - ANDHRA PRADESH,Urban,All ages,Total,14198905,14020170,28219075
2495,28,State - ANDHRA PRADESH,Urban,0-6,Total,1545662,1445118,2990780
2496,28,State - ANDHRA PRADESH,Urban,7,Total,245774,229791,475565
2497,28,State - ANDHRA PRADESH,Urban,8,Total,238814,226219,465033
2498,28,State - ANDHRA PRADESH,Urban,9,Total,241337,227455,468792
2499,28,State - ANDHRA PRADESH,Urban,10,Total,294368,274444,568812
2500,28,State - ANDHRA PRADESH,Urban,11,Total,263474,253541,517015
2501,28,State - ANDHRA PRADESH,Urban,12,Total,268393,257698,526091
2502,28,State - ANDHRA PRADESH,Urban,13,Total,257302,248617,505919
2503,28,State - ANDHRA PRADESH,Urban,14,Total,265487,252869,518356
2504,28,State - ANDHRA PRADESH,Urban,15,Total,282912,264462,547374
2505,28,State - ANDHRA PRADESH,Urban,16,Total,279823,264443,544266
2506,28,State - ANDHRA PRADESH,Urban,17,Total,270412,252863,523275
2507,28,State - ANDHRA PRADESH,Urban,18,Total,301342,305561,606903
2508,28,State - ANDHRA PRADESH,Urban,19,Total,261825,276035,537860
2509,28,State - ANDHRA PRADESH,Urban,20-24,Total,1373027,1495790,2868817
2510,28,State - ANDHRA PRADESH,Urban,25-29,Total,1356745,1446710,2803455
2511,28,State - ANDHRA PRADESH,Urban,30-34,Total,1193492,1157260,2350752
2512,28,State - ANDHRA PRADESH,Urban,35-39,Total,1134068,1126913,2260981
2513,28,State - ANDHRA PRADESH,Urban,40-44,Total,974577,883995,1858572
2514,28,State - ANDHRA PRADESH,Urban,45-49,Total,825039,764930,1589969
2515,28,State - ANDHRA PRADESH,Urban,50-54,Total,633365,582561,1215926
2516,28,State - ANDHRA PRADESH,Urban,55-59,Total,472145,462274,934419
2517,28,State - ANDHRA PRADESH,Urban,60-64,Total,418900,438384,857284
2518,28,State - ANDHRA PRADESH,Urban,65-69,Total,260182,282971,543153
2519,28,State - ANDHRA PRADESH,Urban,70-74,Total,179496,191844,371340
2520,28,State - ANDHRA PRADESH,Urban,75-79,Total,83178,93770,176948
2521,28,State - ANDHRA PRADESH,Urban,80+,Total,91694,129731,221425
2522,28,State - ANDHRA PRADESH,Urban,Age not stated,Total,186072,183921,369993
2523,29,State - KARNATAKA,Total,All ages,Total,30966657,30128640,61095297
2524,29,State - KARNATAKA,Total,0-6,Total,3675291,3485742,7161033
2525,29,State - KARNATAKA,Total,7,Total,523831,495216,1019047
2526,29,State - KARNATAKA,Total,8,Total,540621,514496,1055117
2527,29,State - KARNATAKA,Total,9,Total,538951,514080,1053031
2528,29,State - KARNATAKA,Total,10,Total,629780,594271,1224051
2529,29,State - KARNATAKA,Total,11,Total,575938,549764,1125702
2530,29,State - KARNATAKA,Total,12,Total,596025,563819,1159844
2531,29,State - KARNATAKA,Total,13,Total,562002,529402,1091404
2532,29,State - KARNATAKA,Total,14,Total,591542,544103,1135645
2533,29,State - KARNATAKA,Total,15,Total,602212,543040,1145252
2534,29,State - KARNATAKA,Total,16,Total,592938,536857,1129795
2535,29,State - KARNATAKA,Total,17,Total,551764,496514,1048278
2536,29,State - KARNATAKA,Total,18,Total,724617,656745,1381362
2537,29,State - KARNATAKA,Total,19,Total,570517,552073,1122590
2538,29,State - KARNATAKA,Total,20-24,Total,3109586,2942972,6052558
2539,29,State - KARNATAKA,Total,25-29,Total,2879254,2892352,5771606
2540,29,State - KARNATAKA,Total,30-34,Total,2389594,2308786,4698380
2541,29,State - KARNATAKA,Total,35-39,Total,2319088,2376363,4695451
2542,29,State - KARNATAKA,Total,40-44,Total,1977768,1848944,3826712
2543,29,State - KARNATAKA,Total,45-49,Total,1804833,1714949,3519782
2544,29,State - KARNATAKA,Total,50-54,Total,1381969,1317301,2699270
2545,29,State - KARNATAKA,Total,55-59,Total,1056054,1086450,2142504
2546,29,State - KARNATAKA,Total,60-64,Total,994630,1065422,2060052
2547,29,State - KARNATAKA,Total,65-69,Total,723687,796432,1520119
2548,29,State - KARNATAKA,Total,70-74,Total,510419,550706,1061125
2549,29,State - KARNATAKA,Total,75-79,Total,249834,274592,524426
2550,29,State - KARNATAKA,Total,80+,Total,268502,356808,625310
2551,29,State - KARNATAKA,Total,Age not stated,Total,25410,20441,45851
2552,29,State - KARNATAKA,Rural,All ages,Total,18929354,18539981,37469335
2553,29,State - KARNATAKA,Rural,0-6,Total,2317069,2200576,4517645
2554,29,State - KARNATAKA,Rural,7,Total,324548,306820,631368
2555,29,State - KARNATAKA,Rural,8,Total,341778,326195,667973
2556,29,State - KARNATAKA,Rural,9,Total,343118,329010,672128
2557,29,State - KARNATAKA,Rural,10,Total,398223,378161,776384
2558,29,State - KARNATAKA,Rural,11,Total,363973,346695,710668
2559,29,State - KARNATAKA,Rural,12,Total,382923,361575,744498
2560,29,State - KARNATAKA,Rural,13,Total,359889,336785,696674
2561,29,State - KARNATAKA,Rural,14,Total,384717,349534,734251
2562,29,State - KARNATAKA,Rural,15,Total,392971,348411,741382
2563,29,State - KARNATAKA,Rural,16,Total,384180,340598,724778
2564,29,State - KARNATAKA,Rural,17,Total,346121,300432,646553
2565,29,State - KARNATAKA,Rural,18,Total,467781,409110,876891
2566,29,State - KARNATAKA,Rural,19,Total,342756,325904,668660
2567,29,State - KARNATAKA,Rural,20-24,Total,1849584,1699841,3549425
2568,29,State - KARNATAKA,Rural,25-29,Total,1645487,1638021,3283508
2569,29,State - KARNATAKA,Rural,30-34,Total,1332397,1325352,2657749
2570,29,State - KARNATAKA,Rural,35-39,Total,1337639,1433319,2770958
2571,29,State - KARNATAKA,Rural,40-44,Total,1183334,1137021,2320355
2572,29,State - KARNATAKA,Rural,45-49,Total,1103911,1061765,2165676
2573,29,State - KARNATAKA,Rural,50-54,Total,844160,821296,1665456
2574,29,State - KARNATAKA,Rural,55-59,Total,636709,686748,1323457
2575,29,State - KARNATAKA,Rural,60-64,Total,642294,709961,1352255
2576,29,State - KARNATAKA,Rural,65-69,Total,491844,547638,1039482
2577,29,State - KARNATAKA,Rural,70-74,Total,352315,383994,736309
2578,29,State - KARNATAKA,Rural,75-79,Total,166285,183775,350060
2579,29,State - KARNATAKA,Rural,80+,Total,179395,239568,418963
2580,29,State - KARNATAKA,Rural,Age not stated,Total,13953,11876,25829
2581,29,State - KARNATAKA,Urban,All ages,Total,12037303,11588659,23625962
2582,29,State - KARNATAKA,Urban,0-6,Total,1358222,1285166,2643388
2583,29,State - KARNATAKA,Urban,7,Total,199283,188396,387679
2584,29,State - KARNATAKA,Urban,8,Total,198843,188301,387144
2585,29,State - KARNATAKA,Urban,9,Total,195833,185070,380903
2586,29,State - KARNATAKA,Urban,10,Total,231557,216110,447667
2587,29,State - KARNATAKA,Urban,11,Total,211965,203069,415034
2588,29,State - KARNATAKA,Urban,12,Total,213102,202244,415346
2589,29,State - KARNATAKA,Urban,13,Total,202113,192617,394730
2590,29,State - KARNATAKA,Urban,14,Total,206825,194569,401394
2591,29,State - KARNATAKA,Urban,15,Total,209241,194629,403870
2592,29,State - KARNATAKA,Urban,16,Total,208758,196259,405017
2593,29,State - KARNATAKA,Urban,17,Total,205643,196082,401725
2594,29,State - KARNATAKA,Urban,18,Total,256836,247635,504471
2595,29,State - KARNATAKA,Urban,19,Total,227761,226169,453930
2596,29,State - KARNATAKA,Urban,20-24,Total,1260002,1243131,2503133
2597,29,State - KARNATAKA,Urban,25-29,Total,1233767,1254331,2488098
2598,29,State - KARNATAKA,Urban,30-34,Total,1057197,983434,2040631
2599,29,State - KARNATAKA,Urban,35-39,Total,981449,943044,1924493
2600,29,State - KARNATAKA,Urban,40-44,Total,794434,711923,1506357
2601,29,State - KARNATAKA,Urban,45-49,Total,700922,653184,1354106
2602,29,State - KARNATAKA,Urban,50-54,Total,537809,496005,1033814
2603,29,State - KARNATAKA,Urban,55-59,Total,419345,399702,819047
2604,29,State - KARNATAKA,Urban,60-64,Total,352336,355461,707797
2605,29,State - KARNATAKA,Urban,65-69,Total,231843,248794,480637
2606,29,State - KARNATAKA,Urban,70-74,Total,158104,166712,324816
2607,29,State - KARNATAKA,Urban,75-79,Total,83549,90817,174366
2608,29,State - KARNATAKA,Urban,80+,Total,89107,117240,206347
2609,29,State - KARNATAKA,Urban,Age not stated,Total,11457,8565,20022
2610,30,State - GOA,Total,All ages,Total,739140,719405,1458545
2611,30,State - GOA,Total,0-6,Total,74460,70151,144611
2612,30,State - GOA,Total,7,Total,11068,10297,21365
2613,30,State - GOA,Total,8,Total,10515,9746,20261
2614,30,State - GOA,Total,9,Total,10646,10288,20934
2615,30,State - GOA,Total,10,Total,12265,11499,23764
2616,30,State - GOA,Total,11,Total,11821,11000,22821
2617,30,State - GOA,Total,12,Total,11171,10163,21334
2618,30,State - GOA,Total,13,Total,11002,10456,21458
2619,30,State - GOA,Total,14,Total,11158,10454,21612
2620,30,State - GOA,Total,15,Total,11343,10516,21859
2621,30,State - GOA,Total,16,Total,11005,10036,21041
2622,30,State - GOA,Total,17,Total,10844,10193,21037
2623,30,State - GOA,Total,18,Total,13363,11513,24876
2624,30,State - GOA,Total,19,Total,13520,11542,25062
2625,30,State - GOA,Total,20-24,Total,70616,60129,130745
2626,30,State - GOA,Total,25-29,Total,67744,64882,132626
2627,30,State - GOA,Total,30-34,Total,63471,62388,125859
2628,30,State - GOA,Total,35-39,Total,63541,62757,126298
2629,30,State - GOA,Total,40-44,Total,55504,53008,108512
2630,30,State - GOA,Total,45-49,Total,47867,46869,94736
2631,30,State - GOA,Total,50-54,Total,38782,37810,76592
2632,30,State - GOA,Total,55-59,Total,32021,33532,65553
2633,30,State - GOA,Total,60-64,Total,29100,32004,61104
2634,30,State - GOA,Total,65-69,Total,19005,22014,41019
2635,30,State - GOA,Total,70-74,Total,12890,16165,29055
2636,30,State - GOA,Total,75-79,Total,7228,9308,16536
2637,30,State - GOA,Total,80+,Total,6092,9689,15781
2638,30,State - GOA,Total,Age not stated,Total,1098,996,2094
2639,30,State - GOA,Rural,All ages,Total,275436,276295,551731
2640,30,State - GOA,Rural,0-6,Total,27772,26242,54014
2641,30,State - GOA,Rural,7,Total,4093,3853,7946
2642,30,State - GOA,Rural,8,Total,3821,3647,7468
2643,30,State - GOA,Rural,9,Total,3911,3864,7775
2644,30,State - GOA,Rural,10,Total,4509,4425,8934
2645,30,State - GOA,Rural,11,Total,4289,4215,8504
2646,30,State - GOA,Rural,12,Total,4146,3786,7932
2647,30,State - GOA,Rural,13,Total,4167,3924,8091
2648,30,State - GOA,Rural,14,Total,4193,4012,8205
2649,30,State - GOA,Rural,15,Total,4133,3990,8123
2650,30,State - GOA,Rural,16,Total,4129,3783,7912
2651,30,State - GOA,Rural,17,Total,4145,3913,8058
2652,30,State - GOA,Rural,18,Total,4815,4301,9116
2653,30,State - GOA,Rural,19,Total,4778,4384,9162
2654,30,State - GOA,Rural,20-24,Total,24590,22700,47290
2655,30,State - GOA,Rural,25-29,Total,25250,24667,49917
2656,30,State - GOA,Rural,30-34,Total,24210,24054,48264
2657,30,State - GOA,Rural,35-39,Total,24268,24118,48386
2658,30,State - GOA,Rural,40-44,Total,20562,19820,40382
2659,30,State - GOA,Rural,45-49,Total,17794,17813,35607
2660,30,State - GOA,Rural,50-54,Total,14247,14609,28856
2661,30,State - GOA,Rural,55-59,Total,12044,13040,25084
2662,30,State - GOA,Rural,60-64,Total,11280,13016,24296
2663,30,State - GOA,Rural,65-69,Total,7627,9263,16890
2664,30,State - GOA,Rural,70-74,Total,5024,6809,11833
2665,30,State - GOA,Rural,75-79,Total,2742,3694,6436
2666,30,State - GOA,Rural,80+,Total,2413,3919,6332
2667,30,State - GOA,Rural,Age not stated,Total,484,434,918
2668,30,State - GOA,Urban,All ages,Total,463704,443110,906814
2669,30,State - GOA,Urban,0-6,Total,46688,43909,90597
2670,30,State - GOA,Urban,7,Total,6975,6444,13419
2671,30,State - GOA,Urban,8,Total,6694,6099,12793
2672,30,State - GOA,Urban,9,Total,6735,6424,13159
2673,30,State - GOA,Urban,10,Total,7756,7074,14830
2674,30,State - GOA,Urban,11,Total,7532,6785,14317
2675,30,State - GOA,Urban,12,Total,7025,6377,13402
2676,30,State - GOA,Urban,13,Total,6835,6532,13367
2677,30,State - GOA,Urban,14,Total,6965,6442,13407
2678,30,State - GOA,Urban,15,Total,7210,6526,13736
2679,30,State - GOA,Urban,16,Total,6876,6253,13129
2680,30,State - GOA,Urban,17,Total,6699,6280,12979
2681,30,State - GOA,Urban,18,Total,8548,7212,15760
2682,30,State - GOA,Urban,19,Total,8742,7158,15900
2683,30,State - GOA,Urban,20-24,Total,46026,37429,83455
2684,30,State - GOA,Urban,25-29,Total,42494,40215,82709
2685,30,State - GOA,Urban,30-34,Total,39261,38334,77595
2686,30,State - GOA,Urban,35-39,Total,39273,38639,77912
2687,30,State - GOA,Urban,40-44,Total,34942,33188,68130
2688,30,State - GOA,Urban,45-49,Total,30073,29056,59129
2689,30,State - GOA,Urban,50-54,Total,24535,23201,47736
2690,30,State - GOA,Urban,55-59,Total,19977,20492,40469
2691,30,State - GOA,Urban,60-64,Total,17820,18988,36808
2692,30,State - GOA,Urban,65-69,Total,11378,12751,24129
2693,30,State - GOA,Urban,70-74,Total,7866,9356,17222
2694,30,State - GOA,Urban,75-79,Total,4486,5614,10100
2695,30,State - GOA,Urban,80+,Total,3679,5770,9449
2696,30,State - GOA,Urban,Age not stated,Total,614,562,1176
2697,31,State - LAKSHADWEEP,Total,All ages,Total,33123,31350,64473
2698,31,State - LAKSHADWEEP,Total,0-6,Total,3797,3458,7255
2699,31,State - LAKSHADWEEP,Total,7,Total,566,545,1111
2700,31,State - LAKSHADWEEP,Total,8,Total,450,455,905
2701,31,State - LAKSHADWEEP,Total,9,Total,595,593,1188
2702,31,State - LAKSHADWEEP,Total,10,Total,641,678,1319
2703,31,State - LAKSHADWEEP,Total,11,Total,606,643,1249
2704,31,State - LAKSHADWEEP,Total,12,Total,537,624,1161
2705,31,State - LAKSHADWEEP,Total,13,Total,519,631,1150
2706,31,State - LAKSHADWEEP,Total,14,Total,551,568,1119
2707,31,State - LAKSHADWEEP,Total,15,Total,586,573,1159
2708,31,State - LAKSHADWEEP,Total,16,Total,530,603,1133
2709,31,State - LAKSHADWEEP,Total,17,Total,564,588,1152
2710,31,State - LAKSHADWEEP,Total,18,Total,579,561,1140
2711,31,State - LAKSHADWEEP,Total,19,Total,549,491,1040
2712,31,State - LAKSHADWEEP,Total,20-24,Total,3071,2758,5829
2713,31,State - LAKSHADWEEP,Total,25-29,Total,3135,2832,5967
2714,31,State - LAKSHADWEEP,Total,30-34,Total,2777,2660,5437
2715,31,State - LAKSHADWEEP,Total,35-39,Total,2756,2633,5389
2716,31,State - LAKSHADWEEP,Total,40-44,Total,2453,2155,4608
2717,31,State - LAKSHADWEEP,Total,45-49,Total,1975,1835,3810
2718,31,State - LAKSHADWEEP,Total,50-54,Total,1625,1441,3066
2719,31,State - LAKSHADWEEP,Total,55-59,Total,1513,1388,2901
2720,31,State - LAKSHADWEEP,Total,60-64,Total,1046,988,2034
2721,31,State - LAKSHADWEEP,Total,65-69,Total,753,660,1413
2722,31,State - LAKSHADWEEP,Total,70-74,Total,410,439,849
2723,31,State - LAKSHADWEEP,Total,75-79,Total,244,249,493
2724,31,State - LAKSHADWEEP,Total,80+,Total,221,260,481
2725,31,State - LAKSHADWEEP,Total,Age not stated,Total,74,41,115
2726,31,State - LAKSHADWEEP,Rural,All ages,Total,7243,6898,14141
2727,31,State - LAKSHADWEEP,Rural,0-6,Total,950,865,1815
2728,31,State - LAKSHADWEEP,Rural,7,Total,136,136,272
2729,31,State - LAKSHADWEEP,Rural,8,Total,114,123,237
2730,31,State - LAKSHADWEEP,Rural,9,Total,158,137,295
2731,31,State - LAKSHADWEEP,Rural,10,Total,154,158,312
2732,31,State - LAKSHADWEEP,Rural,11,Total,151,168,319
2733,31,State - LAKSHADWEEP,Rural,12,Total,119,137,256
2734,31,State - LAKSHADWEEP,Rural,13,Total,98,164,262
2735,31,State - LAKSHADWEEP,Rural,14,Total,90,150,240
2736,31,State - LAKSHADWEEP,Rural,15,Total,111,124,235
2737,31,State - LAKSHADWEEP,Rural,16,Total,81,136,217
2738,31,State - LAKSHADWEEP,Rural,17,Total,109,122,231
2739,31,State - LAKSHADWEEP,Rural,18,Total,117,130,247
2740,31,State - LAKSHADWEEP,Rural,19,Total,107,110,217
2741,31,State - LAKSHADWEEP,Rural,20-24,Total,680,600,1280
