,state_id,area_type,education_level,age_group,number_of_women,number_of_married_women,male_children,female_children,fertility_rate
0,0,Total,Total,All Ages,587584719,339621277,484056967,431034187,1.56
1,0,Total,Total,Less than 15,178092741,1812200,409134,368099,0.0
2,0,Total,Total,15-19,56544053,11229274,2756470,2480679,0.09
3,0,Total,Total,20-24,53839529,37474855,21561931,20024083,0.77
4,0,Total,Total,25-29,50069757,45672215,44420283,41207835,1.71
5,0,Total,Total,30-34,43934277,42494507,54734319,50661269,2.4
6,0,Total,Total,35-39,42221303,41450644,61659870,56315714,2.79
7,0,Total,Total,40-44,34892726,34387860,56237822,50236797,3.05
8,0,Total,Total,45-49,30180213,29817709,52039198,45536849,3.23
9,0,Total,Total,50-54,23225988,22939799,42219701,36295263,3.38
10,0,Total,Total,55-59,19690043,19470703,38082338,32571746,3.59
11,0,Total,Total,60-64,18961958,18655119,37713605,32557699,3.71
12,0,Total,Total,65-69,13510657,13238971,27892742,24154578,3.85
13,0,Total,Total,70-74,9557343,9407217,20105036,17529337,3.94
14,0,Total,Total,75-79,4741900,4665395,10348646,9006666,4.08
15,0,Total,Total,80+,6005310,5734942,12366185,10797534,3.86
16,0,Total,Illiterate,All Ages,258709529,158722208,283910513,251627391,2.07
17,0,Total,Illiterate,Less than 15,91890380,407473,174075,157024,0.0
18,0,Total,Illiterate,15-19,7822361,3085557,1119361,998522,0.27
19,0,Total,Illiterate,20-24,12212466,10728878,7581382,7096052,1.2
20,0,Total,Illiterate,25-29,15072101,14530739,17448254,16356310,2.24
21,0,Total,Illiterate,30-34,16298810,16002668,25061998,23488781,2.98
22,0,Total,Illiterate,35-39,18524159,18309609,32448628,29827890,3.36
23,0,Total,Illiterate,40-44,17151840,16981780,32526446,29074357,3.59
24,0,Total,Illiterate,45-49,16062247,15935942,31927439,27870549,3.72
25,0,Total,Illiterate,50-54,13021195,12917583,26712219,22927857,3.81
26,0,Total,Illiterate,55-59,11976353,11900403,25654298,21862897,3.97
27,0,Total,Illiterate,60-64,12964714,12859430,27658650,23819247,3.97
28,0,Total,Illiterate,65-69,9684474,9599251,21209544,18308784,4.08
29,0,Total,Illiterate,70-74,7198872,7130911,15790878,13725635,4.1
30,0,Total,Illiterate,75-79,3470507,3438420,7920692,6853039,4.26
31,0,Total,Illiterate,80+,4433955,4333799,9792010,8507163,4.13
32,0,Total,Literate,All Ages,328875190,180899069,200146454,179406796,1.15
33,0,Total,Literate,Less than 15,86202361,1404727,235059,211075,0.01
34,0,Total,Literate,15-19,48721692,8143717,1637109,1482157,0.06
35,0,Total,Literate,20-24,41627063,26745977,13980549,12928031,0.65
36,0,Total,Literate,25-29,34997656,31141476,26972029,24851525,1.48
37,0,Total,Literate,30-34,27635467,26491839,29672321,27172488,2.06
38,0,Total,Literate,35-39,23697144,23141035,29211242,26487824,2.35
39,0,Total,Literate,40-44,17740886,17406080,23711376,21162440,2.53
40,0,Total,Literate,45-49,14117966,13881767,20111759,17666300,2.68
41,0,Total,Literate,50-54,10204793,10022216,15507482,13367406,2.83
42,0,Total,Literate,55-59,7713690,7570300,12428040,10708849,3.0
43,0,Total,Literate,60-64,5997244,5795689,10054955,8738452,3.13
44,0,Total,Literate,65-69,3826183,3639720,6683198,5845794,3.27
45,0,Total,Literate,70-74,2358471,2276306,4314158,3803702,3.44
46,0,Total,Literate,75-79,1271393,1226975,2427954,2153627,3.6
47,0,Total,Literate,80+,1571355,1401143,2574175,2290371,3.1
48,0,Total,Literate but below primary,All Ages,68452498,22508226,33120336,29896471,0.92
49,0,Total,Literate but below primary,Less than 15,43309425,321006,33747,31331,0.0
50,0,Total,Literate but below primary,15-19,2604476,689262,200658,182532,0.15
51,0,Total,Literate but below primary,20-24,2618793,2149654,1458038,1366031,1.08
52,0,Total,Literate but below primary,25-29,2762619,2633576,2903150,2721379,2.04
53,0,Total,Literate but below primary,30-34,2687279,2619660,3572510,3343942,2.57
54,0,Total,Literate but below primary,35-39,2803272,2759816,4134471,3815979,2.84
55,0,Total,Literate but below primary,40-44,2450348,2418252,3888435,3501163,3.02
56,0,Total,Literate but below primary,45-49,2210382,2185396,3697034,3272337,3.15
57,0,Total,Literate but below primary,50-54,1724445,1703550,3060506,2670874,3.32
58,0,Total,Literate but below primary,55-59,1421752,1405819,2669684,2329753,3.52
59,0,Total,Literate but below primary,60-64,1284827,1256082,2481547,2184629,3.63
60,0,Total,Literate but below primary,65-69,950358,933135,1940455,1719978,3.85
61,0,Total,Literate but below primary,70-74,631273,620599,1331117,1185006,3.99
62,0,Total,Literate but below primary,75-79,367672,361879,809417,727118,4.18
63,0,Total,Literate but below primary,80+,417793,397071,874294,788228,3.98
64,0,Total,Primary but below middle,All Ages,84859761,45558979,58072767,52243288,1.3
65,0,Total,Primary but below middle,Less than 15,30624259,679789,93051,84445,0.01
66,0,Total,Primary but below middle,15-19,8867992,2062564,493225,447685,0.11
67,0,Total,Primary but below middle,20-24,7869340,6345753,3946451,3673798,0.97
68,0,Total,Primary but below middle,25-29,7325521,6976977,7199714,6705791,1.9
69,0,Total,Primary but below middle,30-34,6247410,6084812,7870421,7300787,2.43
70,0,Total,Primary but below middle,35-39,5853133,5769352,8247364,7546388,2.7
71,0,Total,Primary but below middle,40-44,4581299,4524710,6939780,6210803,2.87
72,0,Total,Primary but below middle,45-49,3861682,3821850,6167122,5420451,3.0
73,0,Total,Primary but below middle,50-54,2837147,2804757,4826670,4164414,3.17
74,0,Total,Primary but below middle,55-59,2194677,2172030,3958306,3409775,3.36
75,0,Total,Primary but below middle,60-64,1784292,1714297,3242972,2812748,3.39
76,0,Total,Primary but below middle,65-69,1110655,1075562,2121600,1849449,3.58
77,0,Total,Primary but below middle,70-74,680516,661513,1332730,1171262,3.68
78,0,Total,Primary but below middle,75-79,364773,356973,742291,657290,3.84
79,0,Total,Primary but below middle,80+,426091,382266,740954,658840,3.29
80,0,Total,Middle but below matric or secondary,All Ages,56273688,31661147,34014912,30614796,1.15
81,0,Total,Middle but below matric or secondary,Less than 15,10765255,349246,89882,78752,0.02
82,0,Total,Middle but below matric or secondary,15-19,13403194,2011413,375579,340393,0.05
83,0,Total,Middle but below matric or secondary,20-24,7339574,5541497,3116366,2889362,0.82
84,0,Total,Middle but below matric or secondary,25-29,6350650,5904839,5564679,5145133,1.69
85,0,Total,Middle but below matric or secondary,30-34,4938081,4778606,5673580,5217780,2.21
86,0,Total,Middle but below matric or secondary,35-39,4082616,3993575,5239864,4771892,2.45
87,0,Total,Middle but below matric or secondary,40-44,2880159,2829180,3959690,3534222,2.6
88,0,Total,Middle but below matric or secondary,45-49,2160315,2124637,3139566,2740512,2.72
89,0,Total,Middle but below matric or secondary,50-54,1464872,1440774,2276959,1946446,2.88
90,0,Total,Middle but below matric or secondary,55-59,1031332,1012402,1688701,1444318,3.04
91,0,Total,Middle but below matric or secondary,60-64,734687,702517,1219181,1050978,3.09
92,0,Total,Middle but below matric or secondary,65-69,435740,396655,708433,613341,3.03
93,0,Total,Middle but below matric or secondary,70-74,240424,229948,418612,367097,3.27
94,0,Total,Middle but below matric or secondary,75-79,126385,119962,225537,196755,3.34
95,0,Total,Middle but below matric or secondary,80+,175886,144321,232606,204450,2.48
96,0,Total,Matric or secondary but below graduate,All Ages,75861463,47524553,42789153,38129342,1.07
97,0,Total,Matric or secondary but below graduate,Less than 15,0,0,0,0,
98,0,Total,Matric or secondary but below graduate,15-19,22401041,2931883,455905,410483,0.04
99,0,Total,Matric or secondary but below graduate,20-24,15592109,8784040,3933621,3595082,0.48
100,0,Total,Matric or secondary but below graduate,25-29,10118170,9036753,7179694,6515293,1.35
101,0,Total,Matric or secondary but below graduate,30-34,7651559,7343949,7492290,6730963,1.86
102,0,Total,Matric or secondary but below graduate,35-39,6164570,6002403,6731762,6012821,2.07
103,0,Total,Matric or secondary but below graduate,40-44,4314870,4225013,4994972,4436211,2.19
104,0,Total,Matric or secondary but below graduate,45-49,3186367,3120339,3846802,3375269,2.27
105,0,Total,Matric or secondary but below graduate,50-54,2224133,2174948,2837112,2433582,2.37
106,0,Total,Matric or secondary but below graduate,55-59,1587906,1546013,2091766,1795864,2.45
107,0,Total,Matric or secondary but below graduate,60-64,1057644,1025565,1430918,1241922,2.53
108,0,Total,Matric or secondary but below graduate,65-69,613548,548749,770680,675804,2.36
109,0,Total,Matric or secondary but below graduate,70-74,332516,311443,445592,394857,2.53
110,0,Total,Matric or secondary but below graduate,75-79,169078,155231,229290,204983,2.57
111,0,Total,Matric or secondary but below graduate,80+,220405,180168,227655,202430,1.95
112,0,Total,Graduate and above,All Ages,26168511,19857640,14563866,12953542,1.05
113,0,Total,Graduate and above,Less than 15,0,0,0,0,
114,0,Total,Graduate and above,15-19,0,0,0,0,
115,0,Total,Graduate and above,20-24,6140539,2340767,655741,595480,0.2
116,0,Total,Graduate and above,25-29,6216022,4556693,2279815,2060780,0.7
117,0,Total,Graduate and above,30-34,4229413,3847514,2895536,2587631,1.3
118,0,Total,Graduate and above,35-39,3051411,2909013,2551941,2253029,1.57
119,0,Total,Graduate and above,40-44,2124230,2041659,1914273,1698074,1.7
120,0,Total,Graduate and above,45-49,1523512,1470397,1443129,1284498,1.79
121,0,Total,Graduate and above,50-54,1065395,1022980,1058993,922826,1.86
122,0,Total,Graduate and above,55-59,747940,715048,760752,663414,1.9
123,0,Total,Graduate and above,60-64,459643,436258,475290,419839,1.95
124,0,Total,Graduate and above,65-69,225290,208652,232174,204847,1.94
125,0,Total,Graduate and above,70-74,126010,112808,126215,112139,1.89
126,0,Total,Graduate and above,75-79,59066,52849,58609,53042,1.89
127,0,Total,Graduate and above,80+,89372,71256,62939,56231,1.33
128,0,Rural,Total,All Ages,405967794,231577616,350248381,313550924,1.64
129,0,Rural,Total,Less than 15,131248972,1283307,284502,256533,0.0
130,0,Rural,Total,15-19,39331915,8604139,2123490,1913385,0.1
131,0,Rural,Total,20-24,35696384,26974563,16180930,15061144,0.88
132,0,Rural,Total,25-29,32692281,30709055,32061962,29846130,1.89
133,0,Rural,Total,30-34,28977587,28294613,39253435,36560131,2.62
134,0,Rural,Total,35-39,27937146,27549682,44181585,40660571,3.04
135,0,Rural,Total,40-44,23015773,22761435,40194412,36196310,3.32
136,0,Rural,Total,45-49,19823958,19645985,36961595,32608747,3.51
137,0,Rural,Total,50-54,15242241,15106685,29864621,25920473,3.66
138,0,Rural,Total,55-59,13324985,13223051,27628896,23779658,3.86
139,0,Rural,Total,60-64,13359653,13183737,28045326,24301911,3.92
140,0,Rural,Total,65-69,9707959,9548318,20997218,18202157,4.04
141,0,Rural,Total,70-74,6829421,6744747,14990948,13061467,4.11
142,0,Rural,Total,75-79,3270293,3229361,7495936,6503482,4.28
143,0,Rural,Total,80+,4129194,3963517,8935698,7777563,4.05
144,0,Rural,Illiterate,All Ages,204535333,129650711,234431907,208686014,2.17
145,0,Rural,Illiterate,Less than 15,68782366,330939,143549,129573,0.0
146,0,Rural,Illiterate,15-19,6396231,2640005,939002,838689,0.28
147,0,Rural,Illiterate,20-24,10113829,9048720,6386232,5985069,1.22
148,0,Rural,Illiterate,25-29,12453366,12076531,14637181,13740671,2.28
149,0,Rural,Illiterate,30-34,13478048,13268743,21050305,19778579,3.03
150,0,Rural,Illiterate,35-39,15121108,14967492,26954192,24884359,3.43
151,0,Rural,Illiterate,40-44,13921319,13799602,26862259,24159549,3.67
152,0,Rural,Illiterate,45-49,12940097,12851356,26173058,23012175,3.8
153,0,Rural,Illiterate,50-54,10462697,10391066,21829143,18884046,3.89
154,0,Rural,Illiterate,55-59,9746203,9694315,21216467,18185218,4.04
155,0,Rural,Illiterate,60-64,10565428,10490678,22895552,19795486,4.04
156,0,Rural,Illiterate,65-69,7913667,7852379,17595370,15218927,4.15
157,0,Rural,Illiterate,70-74,5784666,5736614,12908815,11226970,4.17
158,0,Rural,Illiterate,75-79,2743508,2721789,6396104,5530033,4.35
159,0,Rural,Illiterate,80+,3417606,3348766,7743541,6716729,4.23
160,0,Rural,Literate,All Ages,201432461,101926905,115816474,104864910,1.1
161,0,Rural,Literate,Less than 15,62466606,952368,140953,126960,0.0
162,0,Rural,Literate,15-19,32935684,5964134,1184488,1074696,0.07
163,0,Rural,Literate,20-24,25582555,17925843,9794698,9076075,0.74
164,0,Rural,Literate,25-29,20238915,18632524,17424781,16105459,1.66
165,0,Rural,Literate,30-34,15499539,15025870,18203130,16781552,2.26
166,0,Rural,Literate,35-39,12816038,12582190,17227393,15776212,2.58
167,0,Rural,Literate,40-44,9094454,8961833,13332153,12036761,2.79
168,0,Rural,Literate,45-49,6883861,6794629,10788537,9596572,2.96
169,0,Rural,Literate,50-54,4779544,4715619,8035478,7036427,3.15
170,0,Rural,Literate,55-59,3578782,3528736,6412429,5594440,3.36
171,0,Rural,Literate,60-64,2794225,2693059,5149774,4506425,3.46
172,0,Rural,Literate,65-69,1794292,1695939,3401848,2983230,3.56
173,0,Rural,Literate,70-74,1044755,1008133,2082133,1834497,3.75
174,0,Rural,Literate,75-79,526785,507572,1099832,973449,3.94
175,0,Rural,Literate,80+,711588,614751,1192157,1060834,3.17
176,0,Rural,Literate but below primary,All Ages,50537213,16176163,23488532,21387653,0.89
177,0,Rural,Literate but below primary,Less than 15,32394303,242559,24638,22636,0.0
178,0,Rural,Literate but below primary,15-19,2071544,570905,160018,146328,0.15
179,0,Rural,Literate but below primary,20-24,2075265,1737135,1177562,1105006,1.1
180,0,Rural,Literate but below primary,25-29,2150116,2063970,2294826,2155420,2.07
181,0,Rural,Literate but below primary,30-34,2062366,2018135,2786101,2614821,2.62
182,0,Rural,Literate but below primary,35-39,2086694,2059730,3133591,2908622,2.9
183,0,Rural,Literate but below primary,40-44,1766982,1748161,2856759,2599971,3.09
184,0,Rural,Literate but below primary,45-49,1527041,1513022,2606415,2334940,3.24
185,0,Rural,Literate but below primary,50-54,1157451,1146380,2099511,1856717,3.42
186,0,Rural,Literate but below primary,55-59,934879,926779,1798480,1587529,3.62
187,0,Rural,Literate but below primary,60-64,818981,800628,1619232,1436769,3.73
188,0,Rural,Literate but below primary,65-69,581385,570939,1216009,1082187,3.95
189,0,Rural,Literate but below primary,70-74,356473,350577,773967,689177,4.1
190,0,Rural,Literate but below primary,75-79,191497,188775,438642,393559,4.35
191,0,Rural,Literate but below primary,80+,216873,203322,460315,417005,4.05
192,0,Rural,Primary but below middle,All Ages,58460068,30008643,37392733,33968837,1.22
193,0,Rural,Primary but below middle,Less than 15,21988136,463483,56978,51762,0.0
194,0,Rural,Primary but below middle,15-19,6928653,1648815,376337,342663,0.1
195,0,Rural,Primary but below middle,20-24,5837678,4802434,2980846,2777607,0.99
196,0,Rural,Primary but below middle,25-29,5211286,5000568,5223976,4871176,1.94
197,0,Rural,Primary but below middle,30-34,4316897,4220971,5561490,5175472,2.49
198,0,Rural,Primary but below middle,35-39,3836860,3790703,5548554,5108687,2.78
199,0,Rural,Primary but below middle,40-44,2862955,2833513,4462023,4036866,2.97
200,0,Rural,Primary but below middle,45-49,2290805,2271464,3767645,3359633,3.11
201,0,Rural,Primary but below middle,50-54,1630226,1615006,2861702,2510327,3.3
202,0,Rural,Primary but below middle,55-59,1232125,1221852,2303051,2010035,3.5
203,0,Rural,Primary but below middle,60-64,959319,914741,1794946,1568077,3.51
204,0,Rural,Primary but below middle,65-69,561148,538903,1101132,963079,3.68
205,0,Rural,Primary but below middle,70-74,311162,300071,628843,552368,3.8
206,0,Rural,Primary but below middle,75-79,149493,145504,317575,281402,4.01
207,0,Rural,Primary but below middle,80+,193559,163758,317650,280736,3.09
208,0,Rural,Middle but below matric or secondary,All Ages,36479421,19678690,20538995,18665588,1.07
209,0,Rural,Middle but below matric or secondary,Less than 15,6990477,208539,47100,41503,0.01
210,0,Rural,Middle but below matric or secondary,15-19,9802743,1538727,280541,254586,0.05
211,0,Rural,Middle but below matric or secondary,20-24,5213035,4020557,2268508,2104186,0.84
212,0,Rural,Middle but below matric or secondary,25-29,4239432,3979879,3828863,3544564,1.74
213,0,Rural,Middle but below matric or secondary,30-34,3157748,3072493,3757445,3467357,2.29
214,0,Rural,Middle but below matric or secondary,35-39,2446963,2399945,3271134,2999536,2.56
215,0,Rural,Middle but below matric or secondary,40-44,1589668,1565745,2287691,2064672,2.74
216,0,Rural,Middle but below matric or secondary,45-49,1097355,1081233,1672670,1480965,2.87
217,0,Rural,Middle but below matric or secondary,50-54,701689,691872,1147640,997509,3.06
218,0,Rural,Middle but below matric or secondary,55-59,471430,462898,814268,704541,3.22
219,0,Rural,Middle but below matric or secondary,60-64,306671,289608,533472,461088,3.24
220,0,Rural,Middle but below matric or secondary,65-69,175187,150358,283110,243722,3.01
221,0,Rural,Middle but below matric or secondary,70-74,82801,77360,147245,128019,3.32
222,0,Rural,Middle but below matric or secondary,75-79,38753,35087,68986,59517,3.32
223,0,Rural,Middle but below matric or secondary,80+,75210,54964,79631,69931,1.99
224,0,Rural,Matric or secondary but below graduate,All Ages,38327820,22647306,19434029,17488786,0.96
225,0,Rural,Matric or secondary but below graduate,Less than 15,0,0,0,0,
226,0,Rural,Matric or secondary but below graduate,15-19,13091041,1866247,284729,255790,0.04
227,0,Rural,Matric or secondary but below graduate,20-24,8860395,5320700,2439105,2231397,0.53
228,0,Rural,Matric or secondary but below graduate,25-29,5399836,4885853,4022457,3651577,1.42
229,0,Rural,Matric or secondary but below graduate,30-34,3744177,3613417,3849212,3469972,1.95
230,0,Rural,Matric or secondary but below graduate,35-39,2733908,2666034,3152794,2840284,2.19
231,0,Rural,Matric or secondary but below graduate,40-44,1669761,1636250,2047167,1837332,2.33
232,0,Rural,Matric or secondary but below graduate,45-49,1064512,1041611,1362911,1211138,2.42
233,0,Rural,Matric or secondary but below graduate,50-54,652091,637320,884893,773919,2.54
234,0,Rural,Matric or secondary but below graduate,55-59,430281,416992,605490,528406,2.64
235,0,Rural,Matric or secondary but below graduate,60-64,251178,241619,364512,318291,2.72
236,0,Rural,Matric or secondary but below graduate,65-69,148308,118028,174890,153266,2.21
237,0,Rural,Matric or secondary but below graduate,70-74,69625,61989,92678,82109,2.51
238,0,Rural,Matric or secondary but below graduate,75-79,34703,28958,44604,39876,2.43
239,0,Rural,Matric or secondary but below graduate,80+,70968,51235,57920,51219,1.54
240,0,Rural,Graduate and above,All Ages,6680672,4769343,3372340,3004463,0.95
241,0,Rural,Graduate and above,Less than 15,0,0,0,0,
242,0,Rural,Graduate and above,15-19,0,0,0,0,
243,0,Rural,Graduate and above,20-24,2226229,942050,298972,271086,0.26
244,0,Rural,Graduate and above,25-29,1847988,1400214,783542,705953,0.81
245,0,Rural,Graduate and above,30-34,1047345,960367,783246,697517,1.41
246,0,Rural,Graduate and above,35-39,643183,614458,586662,519066,1.72
247,0,Rural,Graduate and above,40-44,369269,353057,361983,321978,1.85
248,0,Rural,Graduate and above,45-49,213835,204534,221354,196389,1.95
249,0,Rural,Graduate and above,50-54,123390,116359,133335,116479,2.02
250,0,Rural,Graduate and above,55-59,81064,76021,91506,78992,2.1
251,0,Rural,Graduate and above,60-64,45586,42248,52465,45625,2.15
252,0,Rural,Graduate and above,65-69,21340,18327,23196,20112,2.03
253,0,Rural,Graduate and above,70-74,11798,9216,10832,9386,1.71
254,0,Rural,Graduate and above,75-79,5445,4457,5291,4483,1.8
255,0,Rural,Graduate and above,80+,15806,11141,8900,7901,1.06
256,0,Urban,Total,All Ages,181616925,108043661,133808586,117483263,1.38
257,0,Urban,Total,Less than 15,46843769,528893,124632,111566,0.01
258,0,Urban,Total,15-19,17212138,2625135,632980,567294,0.07
259,0,Urban,Total,20-24,18143145,10500292,5381001,4962939,0.57
260,0,Urban,Total,25-29,17377476,14963160,12358321,11361705,1.36
261,0,Urban,Total,30-34,14956690,14199894,15480884,14101138,1.98
262,0,Urban,Total,35-39,14284157,13900962,17478285,15655143,2.32
263,0,Urban,Total,40-44,11876953,11626425,16043410,14040487,2.53
264,0,Urban,Total,45-49,10356255,10171724,15077603,12928102,2.7
265,0,Urban,Total,50-54,7983747,7833114,12355080,10374790,2.85
266,0,Urban,Total,55-59,6365058,6247652,10453442,8792088,3.02
267,0,Urban,Total,60-64,5602305,5471382,9668279,8255788,3.2
268,0,Urban,Total,65-69,3802698,3690653,6895524,5952421,3.38
269,0,Urban,Total,70-74,2727922,2662470,5114088,4467870,3.51
270,0,Urban,Total,75-79,1471607,1436034,2852710,2503184,3.64
271,0,Urban,Total,80+,1876116,1771425,3430487,3019971,3.44
272,0,Urban,Illiterate,All Ages,54174196,29071497,49478606,42941377,1.71
273,0,Urban,Illiterate,Less than 15,23108014,76534,30526,27451,0.0
274,0,Urban,Illiterate,15-19,1426130,445552,180359,159833,0.24
275,0,Urban,Illiterate,20-24,2098637,1680158,1195150,1110983,1.1
276,0,Urban,Illiterate,25-29,2618735,2454208,2811073,2615639,2.07
277,0,Urban,Illiterate,30-34,2820762,2733925,4011693,3710202,2.74
278,0,Urban,Illiterate,35-39,3403051,3342117,5494436,4943531,3.07
279,0,Urban,Illiterate,40-44,3230521,3182178,5664187,4914808,3.27
280,0,Urban,Illiterate,45-49,3122150,3084586,5754381,4858374,3.4
281,0,Urban,Illiterate,50-54,2558498,2526517,4883076,4043811,3.49
282,0,Urban,Illiterate,55-59,2230150,2206088,4437831,3677679,3.64
283,0,Urban,Illiterate,60-64,2399286,2368752,4763098,4023761,3.66
284,0,Urban,Illiterate,65-69,1770807,1746872,3614174,3089857,3.79
285,0,Urban,Illiterate,70-74,1414206,1394297,2882063,2498665,3.8
286,0,Urban,Illiterate,75-79,726999,716631,1524588,1323006,3.92
287,0,Urban,Illiterate,80+,1016349,985033,2048469,1790434,3.78
288,0,Urban,Literate,All Ages,127442729,78972164,84329980,74541886,1.25
289,0,Urban,Literate,Less than 15,23735755,452359,94106,84115,0.01
290,0,Urban,Literate,15-19,15786008,2179583,452621,407461,0.05
291,0,Urban,Literate,20-24,16044508,8820134,4185851,3851956,0.5
292,0,Urban,Literate,25-29,14758741,12508952,9547248,8746066,1.24
293,0,Urban,Literate,30-34,12135928,11465969,11469191,10390936,1.8
294,0,Urban,Literate,35-39,10881106,10558845,11983849,10711612,2.09
295,0,Urban,Literate,40-44,8646432,8444247,10379223,9125679,2.26
296,0,Urban,Literate,45-49,7234105,7087138,9323222,8069728,2.4
297,0,Urban,Literate,50-54,5425249,5306597,7472004,6330979,2.54
298,0,Urban,Literate,55-59,4134908,4041564,6015611,5114409,2.69
299,0,Urban,Literate,60-64,3203019,3102630,4905181,4232027,2.85
300,0,Urban,Literate,65-69,2031891,1943781,3281350,2862564,3.02
301,0,Urban,Literate,70-74,1313716,1268173,2232025,1969205,3.2
302,0,Urban,Literate,75-79,744608,719403,1328122,1180178,3.37
303,0,Urban,Literate,80+,859767,786392,1382018,1229537,3.04
304,0,Urban,Literate but below primary,All Ages,17915285,6332063,9631804,8508818,1.01
305,0,Urban,Literate but below primary,Less than 15,10915122,78447,9109,8695,0.0
306,0,Urban,Literate but below primary,15-19,532932,118357,40640,36204,0.14
307,0,Urban,Literate but below primary,20-24,543528,412519,280476,261025,1.0
308,0,Urban,Literate but below primary,25-29,612503,569606,608324,565959,1.92
309,0,Urban,Literate but below primary,30-34,624913,601525,786409,729121,2.43
310,0,Urban,Literate but below primary,35-39,716578,700086,1000880,907357,2.66
311,0,Urban,Literate but below primary,40-44,683366,670091,1031676,901192,2.83
312,0,Urban,Literate but below primary,45-49,683341,672374,1090619,937397,2.97
313,0,Urban,Literate but below primary,50-54,566994,557170,960995,814157,3.13
314,0,Urban,Literate but below primary,55-59,486873,479040,871204,742224,3.31
315,0,Urban,Literate but below primary,60-64,465846,455454,862315,747860,3.46
316,0,Urban,Literate but below primary,65-69,368973,362196,724446,637791,3.69
317,0,Urban,Literate but below primary,70-74,274800,270022,557150,495829,3.83
318,0,Urban,Literate but below primary,75-79,176175,173104,370775,333559,4.0
319,0,Urban,Literate but below primary,80+,200920,193749,413979,371223,3.91
320,0,Urban,Primary but below middle,All Ages,26399693,15550336,20680034,18274451,1.48
321,0,Urban,Primary but below middle,Less than 15,8636123,216306,36073,32683,0.01
322,0,Urban,Primary but below middle,15-19,1939339,413749,116888,105022,0.11
323,0,Urban,Primary but below middle,20-24,2031662,1543319,965605,896191,0.92
324,0,Urban,Primary but below middle,25-29,2114235,1976409,1975738,1834615,1.8
325,0,Urban,Primary but below middle,30-34,1930513,1863841,2308931,2125315,2.3
326,0,Urban,Primary but below middle,35-39,2016273,1978649,2698810,2437701,2.55
327,0,Urban,Primary but below middle,40-44,1718344,1691197,2477757,2173937,2.71
328,0,Urban,Primary but below middle,45-49,1570877,1550386,2399477,2060818,2.84
329,0,Urban,Primary but below middle,50-54,1206921,1189751,1964968,1654087,3.0
330,0,Urban,Primary but below middle,55-59,962552,950178,1655255,1399740,3.17
331,0,Urban,Primary but below middle,60-64,824973,799556,1448026,1244671,3.26
332,0,Urban,Primary but below middle,65-69,549507,536659,1020468,886370,3.47
333,0,Urban,Primary but below middle,70-74,369354,361442,703887,618894,3.58
334,0,Urban,Primary but below middle,75-79,215280,211469,424716,375888,3.72
335,0,Urban,Primary but below middle,80+,232532,218508,423304,378104,3.45
336,0,Urban,Middle but below matric or secondary,All Ages,19794267,11982457,13475917,11949208,1.28
337,0,Urban,Middle but below matric or secondary,Less than 15,3774778,140707,42782,37249,0.02
338,0,Urban,Middle but below matric or secondary,15-19,3600451,472686,95038,85807,0.05
339,0,Urban,Middle but below matric or secondary,20-24,2126539,1520940,847858,785176,0.77
340,0,Urban,Middle but below matric or secondary,25-29,2111218,1924960,1735816,1600569,1.58
341,0,Urban,Middle but below matric or secondary,30-34,1780333,1706113,1916135,1750423,2.06
342,0,Urban,Middle but below matric or secondary,35-39,1635653,1593630,1968730,1772356,2.29
343,0,Urban,Middle but below matric or secondary,40-44,1290491,1263435,1671999,1469550,2.43
344,0,Urban,Middle but below matric or secondary,45-49,1062960,1043404,1466896,1259547,2.56
345,0,Urban,Middle but below matric or secondary,50-54,763183,748902,1129319,948937,2.72
346,0,Urban,Middle but below matric or secondary,55-59,559902,549504,874433,739777,2.88
347,0,Urban,Middle but below matric or secondary,60-64,428016,412909,685709,589890,2.98
348,0,Urban,Middle but below matric or secondary,65-69,260553,246297,425323,369619,3.05
349,0,Urban,Middle but below matric or secondary,70-74,157623,152588,271367,239078,3.24
350,0,Urban,Middle but below matric or secondary,75-79,87632,84875,156551,137238,3.35
351,0,Urban,Middle but below matric or secondary,80+,100676,89357,152975,134519,2.86
352,0,Urban,Matric or secondary but below graduate,All Ages,37533643,24877247,23355124,20640556,1.17
353,0,Urban,Matric or secondary but below graduate,Less than 15,0,0,0,0,
354,0,Urban,Matric or secondary but below graduate,15-19,9310000,1065636,171176,154693,0.04
355,0,Urban,Matric or secondary but below graduate,20-24,6731714,3463340,1494516,1363685,0.42
356,0,Urban,Matric or secondary but below graduate,25-29,4718334,4150900,3157237,2863716,1.28
357,0,Urban,Matric or secondary but below graduate,30-34,3907382,3730532,3643078,3260991,1.77
358,0,Urban,Matric or secondary but below graduate,35-39,3430662,3336369,3578968,3172537,1.97
359,0,Urban,Matric or secondary but below graduate,40-44,2645109,2588763,2947805,2598879,2.1
360,0,Urban,Matric or secondary but below graduate,45-49,2121855,2078728,2483891,2164131,2.19
361,0,Urban,Matric or secondary but below graduate,50-54,1572042,1537628,1952219,1659663,2.3
362,0,Urban,Matric or secondary but below graduate,55-59,1157625,1129021,1486276,1267458,2.38
363,0,Urban,Matric or secondary but below graduate,60-64,806466,783946,1066406,923631,2.47
364,0,Urban,Matric or secondary but below graduate,65-69,465240,430721,595790,522538,2.4
365,0,Urban,Matric or secondary but below graduate,70-74,262891,249454,352914,312748,2.53
366,0,Urban,Matric or secondary but below graduate,75-79,134375,126273,184686,165107,2.6
